Precision_d	Precision_alpha	Precision_lambda	Recall_d	Recall_alpha	Recall_lambda	alpha	d	lambada
1.25432	2.54	2.11	1.123	3.05	2.53	0.01	1	0.0
1.44363	2.95	2.42	1.34363	3.632	2.87	0.02	3	0.1
1.6583	2.3	2.6	1.5583	2.497	2.97	0.03	5	0.2
2.0345	2.08	3.1	1.8345	2.243	3.52	0.04	7	0.3
2.4343	1.87	3.75	2.0343	2.04	3.61	0.05	9	0.4
2.6765	0.0	3.87	2.4765	0.0	3.84	0.0	11	0.5
2.7821	0.0	3.51	3.0821	0.0	3.55	0.0	13	0.6
2.9432	0.0	2.94	3.3432	0.0	2.85	0.0	15	0.7
2.7875	0.0	2.64	2.8875	0.0	2.47	0.0	17	0.8
2.654	0.0	2.22	2.654	0.0	2.23	0.0	19	0.9
2.531	0.0	2.11	2.431	0.0	2.13	0.0	21	1.0
